ID,accbu_text,accbu_inperson,accbu_phone,accbu_sm,accbu_friend,accbu_smstatus,bu_phone2,bu_inperson2,bu_text2,bu_sm2,bu_email2,bu_fbstatus2,bu_smstatus2,bu_image2,bu_drift2,bu_other2,bu_never2,dump_phone2,dump_inperson2,dump_text2,Sex,Sexuality2,Transgender2,Parent_Metro2,Parent_Rent2,Parent_Internet2,Child_Gen2,Child_Age,Household_Size
33,2.0,10.0,8.0,1.0,1.0,1.0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,2,Not sure,No,Metro,Own,Yes,Male,16.0,3.0
35,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,Female,16.0,6.0
36,1.0,10.0,1.0,1.0,1.0,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,1,Straight,No,Metro,Rent,Yes,Male,17.0,3.0
38,9.0,3.0,5.0,6.0,3.0,9.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,14.0,3.0
39,1.0,10.0,4.0,2.0,3.0,2.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,15.0,4.0
40,1.0,10.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,Yes,Metro,Rent,Yes,Male,17.0,2.0
41,3.0,10.0,7.0,3.0,4.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,14.0,5.0
43,3.0,1.0,2.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,13.0,4.0
44,1.0,10.0,4.0,1.0,1.0,1.0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,2,Straight,No,Metro,Own,Yes,Female,17.0,4.0
45,,,,,,,,,,,,,,,,,,,,, ,,,Non-metro,Own,Yes,,,5.0
46,3.0,1.0,2.0,4.0,5.0,10.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,16.0,4.0
47,2.0,10.0,7.0,1.0,1.0,5.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,16.0,2.0
48,1.0,10.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,, ,Not sure,No,Metro,Own,Yes,Female,15.0,4.0
49,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,4.0
51,1.0,10.0,10.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Female,14.0,4.0
52,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,3.0
54,1.0,10.0,2.0,1.0,1.0,1.0,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,2,Straight,No,Metro,Own,Yes,Female,13.0,6.0
55,3.0,1.0,2.0,4.0,5.0,6.0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,2,Straight,No,Metro,Own,Yes,Male,14.0,5.0
56,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Rent,Yes,,,4.0
57,5.0,10.0,4.0,3.0,5.0,7.0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,1,Bisexual,No,Metro,Rent,Yes,Female,17.0,5.0
58,4.0,6.0,5.0,3.0,1.0,2.0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,2,Straight,No,Metro,Rent,Yes,Male,15.0,3.0
59,7.0,10.0,5.0,6.0,1.0,3.0,,,,,,,,,,,,,,, ,Straight,Yes,Metro,Own,Yes,Male,15.0,4.0
60,1.0,10.0,7.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,16.0,4.0
61,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,5.0
62,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,5.0
63,3.0,9.0,6.0,5.0,4.0,5.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Male,13.0,4.0
64,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,3.0
65,2.0,10.0,8.0,1.0,4.0,3.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,13.0,4.0
66,2.0,10.0,3.0,3.0,4.0,2.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,14.0,6.0
67,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,13.0,3.0
68,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,4.0
70,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,3.0
71,,,,,,,,,,,,,,,,,,,,, ,,,Non-metro,Own,Yes,,,3.0
72,4.0,9.0,2.0,3.0,1.0,6.0,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,2,Straight,No,Metro,Own,Yes,Male,14.0,3.0
73,1.0,10.0,6.0,1.0,1.0,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2,Straight,No,Non-metro,Neither,Yes,Female,13.0,3.0
74,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,4.0
78,3.0,10.0,6.0,4.0,2.0,5.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,14.0,5.0
79,6.0,4.0,2.0,3.0,1.0,5.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Male,14.0,6.0
80,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,4.0
81,5.0,10.0,1.0,6.0,3.0,2.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Male,15.0,2.0
83,4.0,10.0,9.0,2.0,3.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,13.0,4.0
84,7.0,9.0,9.0,7.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,14.0,4.0
85,8.0,8.0,8.0,5.0,3.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,16.0,4.0
86,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,5.0
88,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Rent,Yes,,,6.0
89,3.0,10.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,14.0,3.0
90,1.0,10.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,15.0,2.0
91,1.0,10.0,4.0,1.0,1.0,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2,Straight,No,Metro,Own,Yes,Female,15.0,6.0
92,7.0,10.0,9.0,1.0,6.0,2.0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,2,Straight,No,Non-metro,Own,Yes,Male,13.0,4.0
95,3.0,8.0,5.0,1.0,2.0,1.0,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,2,Straight,No,Metro,Own,Yes,Male,13.0,4.0
97,4.0,10.0,6.0,4.0,3.0,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,1,Straight,No,Metro,Rent,Yes,Male,15.0,6.0
98,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,3.0
101,3.0,10.0,5.0,1.0,2.0,1.0,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,1,,Yes,Metro,Own,Yes,Female,16.0,3.0
102,5.0,8.0,9.0,9.0,8.0,3.0,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,2,Straight,No,Metro,Own,Yes,Female,13.0,5.0
104,1.0,10.0,9.0,1.0,1.0,1.0,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,2,Straight,No,Metro,Rent,Yes,Male,15.0,5.0
105,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,3.0
106,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,3.0
107,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,7.0
108,1.0,10.0,7.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,16.0,5.0
110,4.0,10.0,3.0,1.0,2.0,5.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Female,17.0,3.0
111,2.0,9.0,5.0,1.0,2.0,2.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,16.0,3.0
112,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,6.0
113,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,3.0
116,1.0,10.0,7.0,1.0,5.0,2.0,,,,,,,,,,,,,,, ,Straight,No,Non-metro,Own,Yes,Male,13.0,3.0
117,9.0,10.0,7.0,5.0,1.0,2.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,2,Straight,No,Metro,Own,Yes,Male,15.0,4.0
118,1.0,10.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,15.0,3.0
119,3.0,9.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,13.0,4.0
120,1.0,10.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Female,13.0,5.0
121,1.0,10.0,2.0,1.0,1.0,1.0,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,1,Straight,No,Metro,Rent,Yes,Female,17.0,5.0
122,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,5.0
123,2.0,9.0,5.0,2.0,4.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,13.0,4.0
124,6.0,10.0,8.0,5.0,3.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,14.0,6.0
125,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,5.0
126,10.0,9.0,10.0,3.0,5.0,5.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,13.0,4.0
127,6.0,6.0,4.0,7.0,8.0,7.0,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,2,Straight,No,Metro,Own,Yes,Female,15.0,4.0
128,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Rent,Yes,,,4.0
129,1.0,10.0,5.0,1.0,7.0,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,2,Straight,No,Metro,Rent,Yes,Female,14.0,6.0
131,5.0,9.0,7.0,4.0,3.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,16.0,4.0
132,4.0,8.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,13.0,3.0
133,3.0,1.0,2.0,6.0,5.0,4.0,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,Straight,No,Metro,Own,Yes,Male,17.0,7.0
135,2.0,10.0,9.0,1.0,2.0,2.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Female,15.0,4.0
136,2.0,10.0,9.0,6.0,1.0,7.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,14.0,6.0
138,,,,,,,,,,,,,,,,,,,,, ,,,Non-metro,Own,Yes,,,7.0
139,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,4.0
140,1.0,10.0,7.0,1.0,1.0,1.0,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,2,Straight,No,Metro,Rent,Yes,Male,16.0,5.0
141,2.0,10.0,5.0,1.0,1.0,1.0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,2,Straight,No,Metro,Own,Yes,Female,14.0,6.0
142,1.0,10.0,1.0,2.0,1.0,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,1,Bisexual,No,Metro,Own,Yes,Female,14.0,5.0
143,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,7.0
144,5.0,10.0,10.0,5.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,14.0,5.0
145,1.0,10.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Female,13.0,2.0
146,7.0,1.0,3.0,9.0,10.0,10.0,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,2,Straight,No,Metro,Own,Yes,Male,17.0,3.0
147,2.0,10.0,5.0,1.0,3.0,1.0,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,2,Straight,No,Metro,Rent,Yes,Male,14.0,5.0
148,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,No,,,3.0
149,3.0,10.0,5.0,3.0,1.0,3.0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,2,Straight,No,Metro,Rent,Yes,Male,13.0,4.0
150,1.0,10.0,5.0,1.0,2.0,3.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,14.0,4.0
151,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,13.0,5.0
152,3.0,6.0,8.0,2.0,2.0,5.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,16.0,4.0
153,5.0,8.0,10.0,1.0,2.0,9.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,13.0,3.0
154,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,4.0
155,1.0,10.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,13.0,4.0
157,7.0,10.0,9.0,4.0,2.0,2.0,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,2,Straight,No,Non-metro,Own,Yes,Male,16.0,4.0
158,5.0,10.0,6.0,3.0,4.0,1.0,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,1,Straight,No,Non-metro,Rent,Yes,Female,16.0,4.0
159,,,,,,,,,,,,,,,,,,,,, ,,,Non-metro,Own,Yes,,,4.0
160,1.0,10.0,5.0,1.0,3.0,1.0,,,,,,,,,,,,,,, ,Straight,,Metro,Own,Yes,Male,15.0,4.0
161,5.0,10.0,8.0,2.0,3.0,1.0,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,2,Straight,No,Metro,Own,Yes,Female,16.0,6.0
163,1.0,10.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Female,14.0,5.0
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we heart it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,4.0,10.0,5.0,3.0,2.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Non-metro,Rent,Yes,Female,15.0,4.0
168,4.0,10.0,6.0,1.0,3.0,1.0,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,2,Straight,No,Metro,Rent,Yes,Male,14.0,3.0
171,2.0,1.0,3.0,5.0,4.0,6.0,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,2,Straight,No,Metro,Own,Yes,Male,15.0,4.0
172,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,6.0
174,9.0,10.0,7.0,4.0,3.0,1.0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,2,Straight,,Metro,Own,Yes,Female,16.0,3.0
175,1.0,10.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,15.0,4.0
177,1.0,10.0,10.0,2.0,5.0,2.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,15.0,4.0
178,,,,,,,,,,,,,,,,,,,,, ,,,Non-metro,Own,Yes,,,5.0
179,1.0,10.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,14.0,5.0
180,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,6.0
181,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,7.0
182,5.0,10.0,3.0,1.0,1.0,1.0,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,2,Straight,No,Metro,Own,Yes,Male,14.0,3.0
183,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,4.0
184,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,4.0
185,1.0,10.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,14.0,4.0
187,7.0,10.0,8.0,9.0,6.0,3.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Female,13.0,4.0
188,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,2.0
189,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,7.0
190,1.0,10.0,7.0,1.0,2.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Non-metro,Own,Yes,Female,16.0,5.0
191,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,5.0
192,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,4.0
194,1.0,10.0,3.0,1.0,1.0,1.0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,2,Straight,No,Metro,Own,Yes,Female,16.0,4.0
195,1.0,10.0,1.0,1.0,7.0,2.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Female,14.0,5.0
196,10.0,10.0,10.0,1.0,1.0,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,1,Straight,No,Metro,Own,Yes,Female,17.0,5.0
198,1.0,10.0,8.0,1.0,1.0,1.0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,1,Straight,No,Non-metro,Own,Yes,Male,17.0,4.0
199,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,3.0
200,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,2.0
201,5.0,7.0,7.0,2.0,6.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,14.0,4.0
203,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,4.0
204,9.0,5.0,2.0,1.0,5.0,6.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,2,Straight,Yes,Metro,Own,Yes,Female,14.0,5.0
206,,,,,,,,,,,,,,,,,,,,, ,,,Non-metro,Own,Yes,,,3.0
207,4.0,3.0,7.0,1.0,1.0,3.0,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,1,Bisexual,No,Metro,Own,Yes,Female,17.0,1.0
208,3.0,10.0,5.0,2.0,1.0,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2,Straight,No,Metro,Own,Yes,Male,15.0,5.0
210,1.0,10.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,,Metro,Own,Yes,Female,14.0,7.0
211,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,, ,Straight,No,Non-metro,Own,Yes,Male,13.0,4.0
212,1.0,10.0,2.0,1.0,2.0,4.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,16.0,4.0
213,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Rent,Yes,,,4.0
214,1.0,10.0,8.0,1.0,1.0,1.0,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2,Straight,No,Metro,Own,Yes,Female,16.0,3.0
215,1.0,10.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,13.0,4.0
216,7.0,1.0,2.0,10.0,9.0,10.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,16.0,3.0
217,1.0,10.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Female,17.0,3.0
218,3.0,10.0,4.0,2.0,3.0,3.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,16.0,3.0
219,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Rent,Yes,,,3.0
220,3.0,8.0,2.0,2.0,3.0,5.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Neither,Yes,Male,15.0,5.0
221,1.0,10.0,8.0,1.0,1.0,1.0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,2,Straight,No,Metro,Own,Yes,Male,17.0,5.0
222,8.0,10.0,9.0,1.0,2.0,1.0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,2,Straight,No,Metro,Rent,Yes,Male,17.0,9.0
223,1.0,10.0,3.0,1.0,1.0,1.0,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,2,Straight,No,Non-metro,Own,Yes,Male,16.0,7.0
225,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,3.0
226,5.0,10.0,7.0,3.0,1.0,1.0,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,2,Straight,No,Metro,Own,Yes,Female,15.0,3.0
227,2.0,2.0,2.0,3.0,7.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,13.0,5.0
228,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Rent,Yes,,,3.0
229,8.0,10.0,9.0,3.0,5.0,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2,Straight,No,Metro,Rent,Yes,Male,14.0,4.0
230,2.0,10.0,9.0,3.0,5.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,17.0,3.0
231,4.0,10.0,5.0,4.0,2.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,16.0,5.0
232,1.0,10.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,14.0,3.0
233,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Female,14.0,4.0
234,10.0,10.0,10.0,1.0,2.0,1.0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,2,Straight,No,Metro,Own,Yes,Male,13.0,4.0
235,1.0,10.0,10.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Non-metro,Own,Yes,Male,17.0,3.0
236,1.0,10.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Non-metro,Own,Yes,Female,15.0,4.0
238,,,,,,,,,,,,,,,,,,,,, ,,,Non-metro,Own,Yes,,,3.0
239,3.0,10.0,5.0,2.0,4.0,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,1,Straight,No,Metro,Own,Yes,Male,15.0,4.0
240,5.0,9.0,2.0,5.0,1.0,5.0,,,,,,,,,,,,,,, ,Straight,,Non-metro,Neither,Yes,Female,16.0,5.0
242,5.0,10.0,2.0,1.0,3.0,4.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Female,16.0,3.0
243,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,3.0
244,6.0,8.0,8.0,4.0,1.0,1.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,2,Straight,No,Metro,Own,Yes,Male,16.0,5.0
245,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,, ,Not sure,No,Metro,Rent,Yes,Female,14.0,3.0
246,,,,,,,,,,,,,,,,,,,,, ,,,Metro,Own,Yes,,,3.0
247,1.0,10.0,10.0,8.0,3.0,7.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Own,Yes,Male,14.0,3.0
248,3.0,10.0,8.0,1.0,4.0,1.0,,,,,,,,,,,,,,, ,Straight,No,Non-metro,Own,Yes,Male,15.0,7.0
249,3.0,10.0,5.0,2.0,4.0,1.0,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,1,Straight,No,Non-metro,Rent,Yes,Female,16.0,2.0
251,1.0,10.0,3.0,1.0,2.0,4.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Female,17.0,3.0
252,8.0,5.0,9.0,6.0,5.0,5.0,,,,,,,,,,,,,,, ,Straight,No,Metro,Rent,Yes,Female,15.0,5.0
