Unnamed: 0,parent_knowledge_status,parentcontrol,sexualexperience,serious_relationship,notserious_relationship,meeting_online_experience,online_and_never_met,socialmedia_interested_interactedsm,socialmedia_interested_friendedsm,interested_friendedsm,interested_text,interested_video,interested_music,interested_sexypics,interested_inperson,interested_other,search_information_current,friended_setup,search_information_past,askout_text,askout_inperson,askout_phone,askout_dm,askout_friendasked,askout_wait,askout_other,shared_passwords,time_outsideschoool,time_phone,time_text,time_online,time_videochat,time_email,time_socialmediapost,time_messagingapps,shareonline_location,shareonline_activity,shareonline_thoughts,shareonline_friends,shareonline_school,shareonline_health,shareonline_family,shareonline_politics,shareonline_religion,shareonline_funny,pparent_knowledge_status
16,1,do_not_limit,no,,,,, ,,yes,no,no,yes,no,no,no,yes,,,yes,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,yes
17,2,,no,,,,,2,no,no,yes,no,no,no,yes,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
18,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,no
19, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,,,,,,,1,yes,yes,yes,no,no,no,yes,no,yes,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
21,2,,yes,no,no,none,,2,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,less_often,every_few_days,every_few_days,never,never,every_few_days,less_often,never,no,no,no,,yes,no,no,no,no,yes,no
22,1,limit_time,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
23,1,limit_time,yes,yes,,none,,1,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,every_few_days,everyday,everyday,everyday,never,never,everyday,everyday,yes,yes,yes,,no,yes,yes,no,no,yes,yes
24,2,,no,,,,,1,yes,yes,yes,no,no,no,yes,no,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
25,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
26,1,do_not_limit,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,yes
27,2,,no,,,,,2,yes,no,no,no,no,no,yes,no,no,no,,no,yes,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,no
28,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
29,2,,yes,yes,,none,,1,yes,yes,yes,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,every_few_days,less_often,everyday,every_few_days,everyday,never,less_often,never,no,no,no,,no,no,no,no,no,yes,no
30, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,,no,,,,,1,yes,yes,yes,no,no,no,yes,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
32,2,,no,,,,,2,no,no,no,no,no,no,yes,no,yes,yes,,yes,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
33,2,,no,,,,,1,yes,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
34, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2,,no,,,,, ,,no,no,no,no,no,yes,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
36, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,,yes,no,no,none,,1,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,no,every_few_days,every_few_days,every_few_days,every_few_days,every_few_days,every_few_days,every_few_days,every_few_days,yes,no,yes,,no,no,yes,no,yes,yes,no
38,1,do_not_limit,yes,yes,,none,,1,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,every_few_days,everyday,everyday,less_often,less_often,less_often,every_few_days,everyday,yes,no,no,,no,no,no,no,no,yes,yes
39, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,,yes,no,yes,none,,1,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,every_few_days,every_few_days,every_few_days,every_few_days,never,never,every_few_days,never,yes,yes,yes,,yes,yes,yes,no,yes,yes,no
41,1,do_not_limit,yes,yes,,one,yes,1,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,never,every_few_days,less_often,every_few_days,never,less_often,everyday,,yes,yes,yes,,no,no,no,no,no,yes,yes
42,1,do_not_limit,no,,,,,2,yes,no,no,yes,yes,yes,no,yes,no,yes,,no,no,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,yes
43,2,,no,,,,,1,yes,no,no,no,no,no,yes,no,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
44, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,not_sure
47, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
49,2,,no,,,,,2,yes,no,no,no,no,no,yes,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
50,2,,no,,,,, ,,yes,no,no,no,no,no,no,no,,,no,no,no,no,no,no,yes,,,,,,,,,,,,,,,,,,,,no
51, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2,,yes,,,none,,1,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,everyday,everyday,every_few_days,every_few_days,everyday,every_few_days,everyday,everyday,no,no,yes,,yes,no,yes,yes,yes,no,no
55,1,limit_time,yes,yes,,none,,1,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,every_few_days,never,less_often,everyday,never,never,everyday,never,yes,yes,yes,,yes,no,no,no,yes,yes,yes
56, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
58,1,limit_time,no,,,,,2,yes,no,yes,no,no,no,yes,no,no,no,,yes,no,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,yes
59, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2,,no,,,,,2,yes,yes,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
61,2,,no,,,,,1,yes,yes,no,no,no,no,yes,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
62,2,,no,,,,, ,,yes,yes,no,no,no,yes,no,no,,,no,yes,no,yes,no,no,no,,,,,,,,,,,,,,,,,,,,no
63,3,,no,,,,,2,yes,no,yes,no,no,yes,yes,no,no,yes,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,not_sure
64, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,limit_time,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,yes
67,2,,no,,,,, ,,no,no,no,no,no,yes,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
68,1,limit_time,yes,yes,,none,,1,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,every_few_days,less_often,everyday,never,every_few_days,never,every_few_days,never,no,no,no,,no,no,no,no,no,no,yes
69,1,do_not_limit,yes,no,yes,none,,1,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,every_few_days,every_few_days,everyday,everyday,never,never,never,never,yes,yes,yes,,yes,no,no,no,no,yes,yes
70,3,,yes,no,no,one,no,1,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,less_often,less_often,everyday,never,never,never,every_few_days,everyday,yes,yes,yes,,yes,no,yes,yes,yes,yes,not_sure
71,2,,yes,yes,,one,no,1,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,every_few_days,everyday,everyday,everyday,every_few_days,never,everyday,everyday,yes,yes,no,,yes,yes,yes,no,no,yes,no
72, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2,,yes,yes,,none,,1,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,less_often,less_often,everyday,everyday,every_few_days,less_often,less_often,never,yes,yes,yes,,yes,no,yes,no,no,yes,no
74,1,,yes,yes,,none,,1,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,every_few_days,every_few_days,everyday,everyday,every_few_days,everyday,every_few_days,everyday,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes
75,1,do_not_limit,yes,yes,,none,,1,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,less_often,everyday,everyday,everyday,never,less_often,everyday,everyday,yes,yes,yes,,yes,no,no,no,no,yes,yes
76, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
80,2,,no,,,,,2,no,no,no,no,no,no,yes,no,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
81,2,,no,,,,,1,yes,yes,no,yes,yes,no,no,no,no,no,,yes,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
82, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
85,1,limit_time,yes,,,none,,1,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,every_few_days,every_few_days,everyday,never,less_often,never,every_few_days,less_often,yes,yes,yes,,yes,yes,no,no,no,yes,yes
86,2,,no,,,,, ,,yes,no,no,no,no,no,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
87,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
88,2,,no,,,,,1,yes,yes,yes,no,no,no,yes,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
89,1,limit_time,yes,yes,,none,,1,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,everyday,everyday,everyday,every_few_days,less_often,less_often,everyday,less_often,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes
90, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,no
92,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
93, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2,,no,,,,, ,,yes,yes,no,no,no,yes,no,no,,,yes,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
95,2,,yes,no,no,none,,1,yes,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,every_few_days,every_few_days,every_few_days,every_few_days,every_few_days,less_often,less_often,less_often,yes,yes,yes,,no,no,no,no,no,yes,no
96, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2,,yes,no,no,none,,1,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,every_few_days,everyday,everyday,never,never,never,less_often,never,yes,yes,no,,yes,no,no,no,no,yes,no
98,2,,no,,,,,1,yes,yes,no,no,no,no,yes,no,no,no,,no,yes,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
99,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
100,1,limit_time,yes,yes,,none,,1,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,every_few_days,everyday,everyday,everyday,every_few_days,everyday,everyday,less_often,yes,yes,yes,,yes,yes,yes,no,no,yes,yes
101,2,,no,,,,,1,yes,no,no,no,no,no,yes,no,no,yes,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
102,2,,no,,,,,1,yes,yes,no,no,no,no,yes,no,no,yes,,yes,no,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,no
103, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,do_not_limit,yes,yes,,none,,1,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,every_few_days,every_few_days,everyday,less_often,never,never,less_often,less_often,yes,yes,yes,,yes,yes,no,no,no,yes,yes
106,2,,yes,no,no,none,, ,,no,no,no,no,no,yes,no,yes,,no,no,no,no,no,no,no,yes,no,less_often,never,never,never,never,less_often,,never,no,no,no,,no,no,no,no,no,no,no
107,3,,yes,yes,,none,,1,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,every_few_days,everyday,every_few_days,every_few_days,never,everyday,every_few_days,never,yes,yes,yes,,yes,yes,yes,no,no,yes,not_sure
108, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
110,2,,no,,,,, ,,yes,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
111,2,,yes,no,yes,none,,1,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,every_few_days,every_few_days,every_few_days,every_few_days,less_often,every_few_days,less_often,never,yes,yes,yes,,no,no,no,no,no,yes,no
112,2,,yes,no,no,none,, ,,yes,yes,no,no,no,yes,no,no,,no,yes,yes,no,no,yes,no,no,no,everyday,everyday,everyday,every_few_days,every_few_days,never,,everyday,yes,yes,yes,,yes,no,no,no,no,yes,no
113, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,3,,yes,no,yes,none,,1,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,never,never,everyday,everyday,never,never,never,never,yes,yes,yes,,no,no,no,no,no,yes,not_sure
115,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
116,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
117,2,,no,,,,,1,yes,yes,no,no,no,no,yes,no,yes,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
118,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
119, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,yes,,,,,,,,,,,,,,,,,,,,no
121,3,,yes,no,yes,none,,1,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,less_often,every_few_days,everyday,less_often,never,never,never,never,no,no,no,,no,no,no,no,no,no,not_sure
122,1,limit_time,yes,no,no,2-5,yes,1,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,every_few_days,every_few_days,everyday,never,every_few_days,never,less_often,every_few_days,yes,yes,yes,,no,yes,yes,no,no,yes,yes
123, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2,,no,,,,, ,,no,yes,no,no,no,yes,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
125,2,,yes,no,no,none,,1,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,every_few_days,less_often,everyday,never,never,never,less_often,,no,no,no,,no,no,no,no,no,no,no
126,2,,no,,,,,2,yes,yes,no,no,no,no,no,no,yes,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
127,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
128,0,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,every_few_days,,never,everyday,everyday,every_few_days,,,no,,no,yes,,,,yes,
129,2,,no,,,,, ,,yes,no,yes,yes,no,no,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
130,3,,yes,yes,,none,,1,yes,no,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,everyday,every_few_days,everyday,never,less_often,less_often,everyday,never,no,yes,yes,,yes,no,no,no,no,yes,not_sure
131,2,,yes,no,no,none,, ,,no,yes,no,no,no,yes,no,yes,,yes,no,yes,no,no,no,no,no,no,less_often,less_often,everyday,never,never,every_few_days,,never,yes,yes,yes,,no,no,no,no,no,yes,no
132, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1,do_not_limit,yes,yes,,none,, ,,no,no,no,no,no,yes,no,,,no,no,yes,no,no,no,no,no,no,every_few_days,less_often,everyday,every_few_days,never,every_few_days,,never,yes,yes,yes,,yes,no,yes,no,no,yes,yes
134,2,,no,,,,,1,yes,yes,no,no,no,no,no,no,yes,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
135,2,,no,,,,,1,yes,yes,no,no,no,no,yes,no,no,no,,yes,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
136, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,yes,,,,,,,,,,,,,,,,,,,,no
138, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1,do_not_limit,yes,yes,,one,yes,1,yes,no,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,everyday,never,everyday,everyday,never,never,every_few_days,everyday,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes
141, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2,,no,,,,,1,yes,no,no,no,no,no,yes,no,no,yes,,yes,no,no,yes,yes,yes,no,,,,,,,,,,,,,,,,,,,,no
144,2,,no,,,,, ,,no,no,no,no,no,yes,no,no,,,no,yes,no,no,no,yes,yes,,,,,,,,,,,,,,,,,,,,no
145, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2,,no,,,,,2,no,no,yes,no,no,no,yes,no,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
148, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2,,yes,no,no,none,,1,yes,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,every_few_days,every_few_days,every_few_days,every_few_days,less_often,less_often,every_few_days,less_often,no,yes,no,,no,no,no,no,yes,yes,no
151,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,no,yes,,,,,,,,,,,,,,,,,,,,no
152,1,do_not_limit,yes,no,yes,2-5,yes,1,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,everyday,less_often,everyday,everyday,less_often,less_often,everyday,everyday,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes
153,1,do_not_limit,yes,yes,,none,,1,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,every_few_days,everyday,everyday,never,never,never,never,never,no,no,no,,no,no,no,no,no,no,yes
154, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2,,no,,,,, ,,no,no,no,no,no,yes,no,no,,,no,yes,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
157, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1,do_not_limit,yes,yes,,one,no,2,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,everyday,every_few_days,less_often,never,every_few_days,less_often,every_few_days,less_often,no,no,yes,,no,yes,no,yes,no,yes,yes
159, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2,,yes,no,no,one,no,1,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,everyday,everyday,everyday,everyday,everyday,every_few_days,everyday,everyday,yes,yes,yes,,yes,yes,yes,no,no,yes,no
161,2,,yes,no,no,none,,1,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,never,never,never,never,never,never,never,,yes,yes,yes,,yes,no,yes,no,no,yes,no
162,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
163,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
164,2,,no,,,,, ,,yes,yes,no,no,no,yes,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
165, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2,,yes,no,no,none,,1,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,yes,no,no,every_few_days,every_few_days,everyday,everyday,less_often,never,less_often,everyday,yes,yes,yes,,yes,no,no,no,no,yes,no
167,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,yes,,,,,,,,,,,,,,,,,,,,no
168,2,,no,,,,,1,yes,yes,yes,no,no,no,yes,no,yes,yes,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
